n,p,m,cut_BF,cut_H,gap
10,0.5,22,11,11,0
10,0.5,22,11,11,0
10,0.5,22,11,11,0
10,0.5,22,11,11,0
10,0.5,22,11,11,0
10,0.5,22,11,11,0
12,0.5,33,17,17,0
12,0.5,33,17,17,0
12,0.5,33,17,17,0
12,0.5,33,17,17,0
12,0.5,33,16,16,0
12,0.5,33,17,17,0
14,0.5,45,22,22,0
14,0.5,45,23,23,0
14,0.5,45,23,23,0
14,0.5,45,23,23,0
14,0.5,45,22,22,0
14,0.5,45,23,23,0
16,0.5,60,30,30,0
16,0.5,60,30,30,0
16,0.5,60,30,30,0
16,0.5,60,30,30,0
16,0.5,60,30,30,0
16,0.5,60,31,31,0
18,0.5,76,39,39,0
18,0.5,76,38,38,0
18,0.5,76,37,37,0
18,0.5,76,38,38,0
18,0.5,76,39,38,1
18,0.5,76,38,37,1
